Group,Depth_Category,Parameter,Unit,Min_Max_Mean,Threshold_Min,Threshold_Max,Excellent,Good,Fair
Freshwater,,Alkalinity,mg/L,minimum,20,,,,
Freshwater,,Chloride,mg/L,mean,,230,,,
Coldwater,,Dissolved Oxygen,mg/L,minimum,8,,8,5,4
Warmwater,,Dissolved Oxygen,mg/L,minimum,5,,5,5,3
Freshwater,,E. coli,cfu/100mL,mean,,126,,,
Freshwater,,Enterococci,cfu/100mL,mean,,33,,,
Saltwater,,Enterococci,cfu/100mL,mean,,35,,,
,,Nitrates,mg/L,max,,10,,,
Freshwater,,pH,None,mean,6.5,9,,,
Saltwater,,pH,None,mean,6.5,8.5,,,
Saltwater,,Phosphorus,ug/L,maximum,,0.1,,,
Saltwater,,"Temperature, water",deg F,maximum,,85,,,
