State,Group,Depth_Category,Parameter,Unit,Calculation,Threshold_Min,Threshold_Max,Excellent,Good,Fair
CT,Saltwater,,Ammonia,ug/L,mean,,35,,,
CT,Saltwater,,Dissolved oxygen,mg/L,minimum,3,,4.8,4.8,3
CT,,,Dissolved oxygen,mg/L,minimum,5,,,,
CT,Saltwater,,Enterococcus,cfu/100mL,geometric mean,,35,,,
CT,,,Escherichia coli,cfu/100mL,geometric mean,,126,,,
CT,Saltwater,,Fecal Coliform,cfu/100mL,geometric mean,,88,14,88,88
CT,Saltwater,,pH,None,mean,6.8,8.5,,,
CT,,,pH,None,mean,6.5,8,,,
CT,,,Sodium,mg/L,max,,20,,,
CT,Saltwater,,"Temperature, water",deg F,max,,83,,,
CT,,,"Temperature, water",deg F,max,,85,,,
CT,,,Total Coliform,cfu/100mL,mean,,100,,,
MA,Coldwater,,Dissolved oxygen,mg/L,min,6,,6,6,3
MA,Saltwater,,Dissolved oxygen,mg/L,min,5,,6,5,4
MA,Warmwater,,Dissolved oxygen,mg/L,min,5,,5,5,3
MA,,,Enterococcus,cfu/100mL,geometric mean,,35,,,
MA,,,Escherichia coli,cfu/100mL,geometric mean,,126,,,
MA,Saltwater,,Fecal Coliform,MPN/100mL,geometric mean,,88,14,88,1000
MA,,,Fecal Coliform,cfu/100mL,max,,20,20,20,1000
MA,Saltwater,,pH,None,mean,6.5,8.5,,,
MA,,,pH,None,mean,6.5,8.3,,,
MA,Coldwater,,"Temperature, water",deg F,max,,68,68,68,85
MA,Saltwater,,"Temperature, water",deg F,max,,85,,,
MA,Warmwater,,"Temperature, water",deg F,max,,83,83,83,85
MA,,,Total Coliform,cfu/100mL,max,,100,,,
RI,Coldwater,,Dissolved oxygen,mg/L,minimum,5,,8,6.5,5
RI,Saltwater,Surface,Dissolved oxygen,mg/L,minimum,4.8,,,,
RI,Warmwater,,Dissolved oxygen,mg/L,minimum,5,,,,
RI,Coldwater,,Dissolved oxygen saturation,%,mean,75,,,,
RI,Warmwater,,Dissolved oxygen saturation,%,mean,60,,,,
RI,Saltwater,,Enterococcus,cfu/100mL,geometric mean,,35,,,
RI,,,Enterococcus,cfu/100mL,geometric mean,,54,33,54,54
RI,Saltwater,,Fecal Coliform,cfu/100mL,geometric mean,,50,14,50,50
RI,,,Fecal Coliform,cfu/100mL,geometric mean,,200,,,
RI,Saltwater,,pH,None,mean,6.5,8.5,,,
RI,,,pH,None,mean,6.5,9,,,
RI,Coldwater,,"Temperature, water",deg F,max,,68,,,
RI,Saltwater,,"Temperature, water",deg F,max,,83,,,
RI,Warmwater,,"Temperature, water",deg F,max,,83,,,
RI,,,"Total Phosphorus, mixed forms",mg/L,mean,,0.025,,,
