wqdashboard,measurements
ac,acre
cm/sec,cm_per_sec
days,day
decibar,dbar
Deg,degree
deg C,C
deg F,F
deg K,K
ft/sec,ft_per_sec
gal,us_gal
gal/day,us_gal / day
gal/hr,gal_per_hr
gal/min,gal_per_min
gal/sec,gal_per_sec
ha,hectare
hours,hr
Imp gal,imp_gal
in,inch
in2,inch2
in3,inch3
Joules,J
kcal,Cal
km/hr,kph
km/sec,km_per_sec
knots,knot
L/hr,l_per_hr
L/min,l_per_min
L/sec,l_per_sec
lb,lbs
lb/day,lbs / day
m/sec,m_per_sec
m3/hr,m3_per_hr
m3/min,m3_per_min
m3/sec,m3_per_sec
metric ton,metric_ton
mg/L,mg / l
millibar,mbar
minutes,min
mL/L,ml / l
mL/min,ml_per_min
mL/sec,ml_per_sec
mm/sec,mm_per_sec
months,mon
ms,msec
Mw,MWh
ng/L,ng / l
Pascal,Pa
qt,us_quart
seconds,sec
tons,short_tons
tons/sec,short_tons / sec
ug/kg,ug / kg
ug/L,ug / l
umol/L,umol / l
Watts,W
weeks,wk
years,yr
